,alpha,gamma,epsilon,eps_decay,episode,steps,episode_time,time,reward
267,0.9,0.9,0.26227842021373715,0.995,268,2,0.00013120000000199639,22.0780406,-1.0
268,0.9,0.9,0.2609670281126685,0.995,269,1,6.339999999838142e-05,22.0781044,1.0
269,0.9,0.9,0.25966219297210513,0.995,270,1,7.920000000183336e-05,22.0781843,-1.0
270,0.9,0.9,0.2583638820072446,0.995,271,3,0.00022089999999863608,22.0784068,-1.0
271,0.9,0.9,0.2570720625972084,0.995,272,1,8.610000000075502e-05,22.0784933,-1.0
272,0.9,0.9,0.25578670228422234,0.995,273,1,8.040000000164582e-05,22.078574,-1.0
273,0.9,0.9,0.25450776877280124,0.995,274,1,4.300000000156956e-05,22.0786351,-1.0
274,0.9,0.9,0.2532352299289372,0.995,275,1,4.440000000016653e-05,22.0786799,1.0
275,0.9,0.9,0.2519690537792925,0.995,276,1,5.9600000000159525e-05,22.0787399,1.0
276,0.9,0.9,0.2507092085103961,0.995,277,2,5.9000000000253294e-05,22.0787993,1.0
277,0.9,0.9,0.2494556624678441,0.995,278,1,5.930000000020641e-05,22.078859,-1.0
278,0.9,0.9,0.24820838415550486,0.995,279,1,8.659999999949264e-05,22.0789461,-1.0
279,0.9,0.9,0.24696734223472733,0.995,280,2,0.00012020000000134701,22.0790667,-1.0
280,0.9,0.9,0.2457325055235537,0.995,281,1,4.20999999981575e-05,22.0791092,-1.0
281,0.9,0.9,0.24450384299593592,0.995,282,2,6.630000000029668e-05,22.079176,-1.0
282,0.9,0.9,0.24328132378095624,0.995,283,1,3.8999999997457735e-05,22.0792153,-1.0
283,0.9,0.9,0.24206491716205145,0.995,284,1,6.940000000099644e-05,22.0792849,-1.0
